Coin,Date,Open,High,Low,Close,Volume,Market Cap
eth,9/23/2020,344.59,344.67,318.97,321.12,12899346599,36196531454
doge,9/23/2020,0,0,0,0,79707709,323599428
btc,9/24/2020,10248.79,10771.06,10231.49,10760.07,47144380902,1.99046E+11
eth,9/24/2020,320.99,351.46,318.55,349.36,15714304470,39384347822
doge,9/24/2020,0,0,0,0,111915975,332209045
btc,9/25/2020,10761.11,10777.7,10578.91,10692.72,39348590957,1.9781E+11
eth,9/25/2020,349.41,357.77,339.02,352.18,14381086966,39707914546
doge,9/25/2020,0,0,0,0,124575712,341120228
btc,9/26/2020,10695.58,10773,10667.28,10750.72,46852525493,1.98893E+11
eth,9/26/2020,352.35,355.85,348.11,355.49,13049148579,40085290850
doge,9/26/2020,0,0,0,0,108180296,343387129
btc,9/27/2020,10746.89,10803.98,10622.92,10775.27,53745972818,1.99358E+11
eth,9/27/2020,354.96,361.98,349.83,357.44,13598126926,40309981004
doge,9/27/2020,0,0,0,0,76293172,340381383
btc,9/28/2020,10776.61,10945.35,10703.89,10709.65,47762394731,1.98154E+11
eth,9/28/2020,357.93,366.43,354.55,355.16,14258455166,40057637361
doge,9/28/2020,0,0,0,0,102662350,335353894
btc,9/29/2020,10709.65,10860,10649.5,10844.64,46582396602,2.0066E+11
eth,9/29/2020,354.36,360.35,352.15,359.76,11600013236,40581050364
doge,9/29/2020,0,0,0,0,109463113,339614379
btc,9/30/2020,10843.87,10847.26,10669.32,10784.49,44171073700,1.99557E+11
eth,9/30/2020,360.04,361.18,353.33,359.94,11818610610,40606130498
doge,9/30/2020,0,0,0,0,106684832,332662364
btc,10/1/2020,10795.25,10933.62,10472.36,10619.45,40023134100,1.96512E+11
eth,10/1/2020,360.31,369.26,346.48,353.21,14679481911,39851388059
doge,10/1/2020,0,0,0,0,116194992,330888014
btc,10/2/2020,10619.82,10657.84,10416.69,10575.98,48661453918,1.95716E+11
eth,10/2/2020,352.95,354.12,336.47,346.24,14215390463,39069960290
doge,10/2/2020,0,0,0,0,128239855,326820338
btc,10/3/2020,10575.1,10598.94,10511.13,10549.33,44660271563,1.95233E+11
eth,10/3/2020,346.22,351.31,344.67,346.52,10060167889,39106512854
doge,10/3/2020,0,0,0,0,116046378,328808013
btc,10/4/2020,10550.44,10686,10534.39,10669.58,71251776995,1.97469E+11
eth,10/4/2020,346.6,354.05,345.13,352.58,10696959020,39794771396
doge,10/4/2020,0,0,0,0,92364518,333407496
