Date,Open*,High,Low,Close**,Volume,Market Cap
25-Apr-21,$0.27 ,$0.29 ,$0.23 ,$0.25 ,"$6,849,914,675 ","$32,477,418,138 "
24-Apr-21,$0.25 ,$0.29 ,$0.23 ,$0.27 ,"$11,057,578,568 ","$34,944,176,235 "
23-Apr-21,$0.26 ,$0.27 ,$0.16 ,$0.25 ,"$16,165,566,164 ","$32,134,070,797 "
22-Apr-21,$0.31 ,$0.31 ,$0.26 ,$0.26 ,"$11,879,823,706 ","$33,741,377,335 "
21-Apr-21,$0.32 ,$0.35 ,$0.30 ,$0.31 ,"$12,723,463,706 ","$39,679,105,903 "
20-Apr-21,$0.41 ,$0.42 ,$0.27 ,$0.32 ,"$28,130,646,191 ","$41,300,434,109 "
19-Apr-21,$0.32 ,$0.43 ,$0.31 ,$0.41 ,"$30,641,432,779 ","$52,646,623,418 "
18-Apr-21,$0.29 ,$0.35 ,$0.25 ,$0.32 ,"$23,464,350,388 ","$41,417,581,076 "
17-Apr-21,$0.37 ,$0.37 ,$0.24 ,$0.28 ,"$31,413,404,067 ","$36,722,073,277 "
16-Apr-21,$0.18 ,$0.44 ,$0.18 ,$0.37 ,"$69,410,680,685 ","$47,274,068,218 "
15-Apr-21,$0.12 ,$0.19 ,$0.12 ,$0.18 ,"$17,916,620,386 ","$23,540,494,382 "
14-Apr-21,$0.09 ,$0.14 ,$0.09 ,$0.12 ,"$20,977,679,327 ","$15,697,925,271 "
13-Apr-21,$0.07 ,$0.10 ,$0.07 ,$0.09 ,"$7,176,815,090 ","$12,070,137,895 "
12-Apr-21,$0.07 ,$0.07 ,$0.07 ,$0.07 ,"$2,687,720,380 ","$9,139,899,746 "
11-Apr-21,$0.06 ,$0.08 ,$0.06 ,$0.07 ,"$6,646,627,317 ","$9,640,258,366 "
10-Apr-21,$0.06 ,$0.07 ,$0.06 ,$0.06 ,"$1,369,793,118 ","$8,244,132,101 "
9-Apr-21,$0.06 ,$0.06 ,$0.06 ,$0.06 ,"$1,060,465,774 ","$7,964,226,155 "
8-Apr-21,$0.06 ,$0.06 ,$0.06 ,$0.06 ,"$1,055,257,541 ","$7,934,992,305 "
7-Apr-21,$0.06 ,$0.07 ,$0.06 ,$0.06 ,"$2,857,060,849 ","$7,619,768,371 "
6-Apr-21,$0.06 ,$0.07 ,$0.06 ,$0.06 ,"$2,608,613,912 ","$8,319,797,961 "
5-Apr-21,$0.06 ,$0.06 ,$0.06 ,$0.06 ,"$1,513,832,721 ","$7,704,287,493 "
4-Apr-21,$0.06 ,$0.06 ,$0.06 ,$0.06 ,"$938,035,097 ","$7,407,664,648 "
3-Apr-21,$0.06 ,$0.06 ,$0.06 ,$0.06 ,"$1,136,931,403 ","$7,200,412,904 "
2-Apr-21,$0.06 ,$0.06 ,$0.06 ,$0.06 ,"$2,166,925,111 ","$7,439,646,120 "
1-Apr-21,$0.05 ,$0.07 ,$0.05 ,$0.06 ,"$5,816,046,822 ","$7,996,434,168 "
31-Mar-21,$0.05 ,$0.05 ,$0.05 ,$0.05 ,"$653,389,282 ","$6,921,249,082 "
30-Mar-21,$0.05 ,$0.06 ,$0.05 ,$0.05 ,"$728,906,171 ","$6,951,867,440 "
