Type,Date,Open,High,Low,Close,Adj. close,Volume
s&p,3/5/2008,"1,327.69","1,344.19","1,320.22","1,333.70","1,333.70","4,27,77,10,000"
nasdaq,3/5/2008,2266.48999,2290.01001,2254.199951,2272.810059,2272.810059,2209090000
s&p,3/6/2008,"1,332.20","1,332.20","1,303.42","1,304.34","1,304.34","4,32,34,60,000"
nasdaq,3/6/2008,2265.669922,2272.199951,2219.330078,2220.5,2220.5,2165090000
s&p,3/7/2008,"1,301.53","1,313.24","1,282.43","1,293.37","1,293.37","4,56,54,10,000"
nasdaq,3/7/2008,2204.47998,2242.5,2186.929932,2212.48999,2212.48999,2386980000
s&p,3/10/2008,"1,293.16","1,295.01","1,272.66","1,273.37","1,273.37","4,26,12,40,000"
nasdaq,3/10/2008,2211.139893,2216.889893,2168.669922,2169.340088,2169.340088,2101010000
s&p,3/11/2008,"1,274.40","1,320.65","1,274.40","1,320.65","1,320.65","5,10,90,80,000"
nasdaq,3/11/2008,2209.649902,2255.76001,2192.5,2255.76001,2255.76001,2526040000
s&p,3/12/2008,"1,321.13","1,333.26","1,307.86","1,308.77","1,308.77","4,41,42,80,000"
nasdaq,3/12/2008,2259.969971,2282.610107,2241.379883,2243.870117,2243.870117,2077140000
s&p,3/13/2008,"1,305.26","1,321.68","1,282.11","1,315.48","1,315.48","5,07,33,60,000"
nasdaq,3/13/2008,2219.280029,2272.550049,2199.379883,2263.610107,2263.610107,2419220000
s&p,3/14/2008,"1,316.05","1,321.47","1,274.86","1,288.14","1,288.14","5,15,37,80,000"
nasdaq,3/14/2008,2271.209961,2277.110107,2191.75,2212.48999,2212.48999,2547310000
s&p,3/17/2008,"1,283.21","1,287.50","1,256.98","1,276.60","1,276.60","5,68,30,10,000"
nasdaq,3/17/2008,2166.939941,2200.530029,2155.419922,2177.01001,2177.01001,2338210000
s&p,3/18/2008,"1,277.16","1,330.74","1,277.16","1,330.74","1,330.74","5,33,56,30,000"
nasdaq,3/18/2008,2215.610107,2268.26001,2206.810059,2268.26001,2268.26001,2411630000
s&p,3/19/2008,"1,330.97","1,341.51","1,298.42","1,298.42","1,298.42","5,35,85,50,000"
nasdaq,3/19/2008,2272.120117,2280.899902,2209.959961,2209.959961,2209.959961,2265420000
s&p,3/20/2008,"1,299.67","1,330.67","1,295.22","1,329.51","1,329.51","6,14,52,20,000"
nasdaq,3/20/2008,2220.5,2258.110107,2208.120117,2258.110107,2258.110107,2764480000
s&p,3/24/2008,"1,330.29","1,359.68","1,330.29","1,349.88","1,349.88","4,49,90,00,000"
nasdaq,3/24/2008,2268.199951,2336.699951,2268.199951,2326.75,2326.75,2312600000
s&p,3/25/2008,"1,349.07","1,357.47","1,341.21","1,352.99","1,352.99","4,14,51,20,000"
nasdaq,3/25/2008,2329.159912,2346.780029,2312.060059,2341.050049,2341.050049,2099060000
s&p,3/26/2008,"1,352.45","1,352.45","1,336.41","1,341.13","1,341.13","4,05,56,70,000"
nasdaq,3/26/2008,2328.620117,2331.179932,2306.48999,2324.360107,2324.360107,1915210000
s&p,3/27/2008,"1,340.34","1,345.62","1,325.66","1,325.76","1,325.76","4,03,79,30,000"
nasdaq,3/27/2008,2315.040039,2315.909912,2280.469971,2280.830078,2280.830078,2038770000
s&p,3/28/2008,"1,327.02","1,334.87","1,312.95","1,315.22","1,315.22","3,68,69,80,000"
nasdaq,3/28/2008,2291.320068,2304.709961,2256.870117,2261.179932,2261.179932,1785770000
s&p,3/31/2008,"1,315.92","1,328.52","1,312.81","1,322.70","1,322.70","4,18,89,90,000"
nasdaq,3/31/2008,2265.149902,2289.699951,2260.590088,2279.100098,2279.100098,1788360000
s&p,4/1/2008,"1,326.41","1,370.18","1,326.41","1,370.18","1,370.18","4,74,51,20,000"
nasdaq,4/1/2008,2306.51001,2362.75,2305.399902,2362.75,2362.75,2160120000
s&p,4/2/2008,"1,369.96","1,377.95","1,361.55","1,367.53","1,367.53","4,32,04,40,000"
nasdaq,4/2/2008,2363.419922,2381.209961,2347.780029,2361.399902,2361.399902,1996680000
s&p,4/3/2008,"1,365.69","1,375.66","1,358.68","1,369.31","1,369.31","3,92,01,00,000"
nasdaq,4/3/2008,2347.909912,2373.98999,2339.379883,2363.300049,2363.300049,1993480000
s&p,4/4/2008,"1,369.85","1,380.91","1,362.83","1,370.40","1,370.40","3,70,31,00,000"
nasdaq,4/4/2008,2366.909912,2391.929932,2351.76001,2370.97998,2370.97998,1977560000
s&p,4/7/2008,"1,373.69","1,386.74","1,369.02","1,372.54","1,372.54","3,74,77,80,000"
nasdaq,4/7/2008,2386.620117,2390.040039,2359.540039,2364.830078,2364.830078,1730020000
s&p,4/8/2008,"1,370.16","1,370.16","1,360.62","1,365.54","1,365.54","3,60,25,00,000"
nasdaq,4/8/2008,2353.580078,2359.399902,2337.840088,2348.76001,2348.76001,1635290000
s&p,4/9/2008,"1,365.50","1,368.39","1,349.97","1,354.49","1,354.49","3,55,66,70,000"
nasdaq,4/9/2008,2351.939941,2353.540039,2311.449951,2322.120117,2322.120117,1922050000
s&p,4/10/2008,"1,355.37","1,367.24","1,350.11","1,360.55","1,360.55","3,68,61,50,000"
nasdaq,4/10/2008,2326.780029,2363.909912,2324.389893,2351.699951,2351.699951,2159000000
s&p,4/11/2008,"1,357.98","1,357.98","1,331.21","1,332.83","1,332.83","3,72,37,90,000"
nasdaq,4/11/2008,2327.699951,2328.449951,2286.189941,2290.23999,2290.23999,1902540000
s&p,4/14/2008,"1,332.20","1,335.64","1,326.16","1,328.32","1,328.32","3,56,50,20,000"
nasdaq,4/14/2008,2287.02002,2296.72998,2274.909912,2275.820068,2275.820068,1626710000
s&p,4/15/2008,"1,331.72","1,337.72","1,324.35","1,334.43","1,334.43","3,58,12,30,000"
nasdaq,4/15/2008,2287.429932,2291.120117,2266.290039,2286.040039,2286.040039,1884750000
s&p,4/16/2008,"1,337.02","1,365.49","1,337.02","1,364.71","1,364.71","4,26,03,70,000"
nasdaq,4/16/2008,2313.419922,2352.209961,2313.419922,2350.110107,2350.110107,2128770000
s&p,4/17/2008,"1,363.37","1,368.60","1,357.25","1,365.56","1,365.56","3,71,38,80,000"
nasdaq,4/17/2008,2347.320068,2348.310059,2327.659912,2341.830078,2341.830078,1779300000
s&p,4/18/2008,"1,369.00","1,395.90","1,369.00","1,390.33","1,390.33","4,22,23,80,000"
nasdaq,4/18/2008,2394.52002,2412.780029,2383.23999,2402.969971,2402.969971,2190920000
s&p,4/21/2008,"1,387.72","1,390.23","1,379.25","1,388.17","1,388.17","3,42,05,70,000"
nasdaq,4/21/2008,2393.070068,2410.969971,2389.820068,2408.040039,2408.040039,1601280000
s&p,4/22/2008,"1,386.43","1,386.43","1,369.84","1,375.94","1,375.94","3,82,19,00,000"
nasdaq,4/22/2008,2397.120117,2397.169922,2361.669922,2376.939941,2376.939941,1941680000
s&p,4/23/2008,"1,378.40","1,387.87","1,372.24","1,379.93","1,379.93","4,10,36,10,000"
