Date,Open*,High,Low,Close**,Volume,Market Cap
11-Feb-21,$182.06 ,$192.50 ,$176.55 ,$184.50 ,"$9,278,994,121 ","$12,262,582,772 "
10-Feb-21,$181.99 ,$194.18 ,$172.26 ,$182.17 ,"$12,820,808,289 ","$12,107,028,489 "
9-Feb-21,$167.21 ,$183.64 ,$164.69 ,$182.11 ,"$10,156,352,233 ","$12,101,771,285 "
8-Feb-21,$151.11 ,$168.27 ,$148.12 ,$167.22 ,"$8,863,883,926 ","$11,110,735,149 "
7-Feb-21,$155.67 ,$157.13 ,$145.66 ,$151.14 ,"$6,884,924,123 ","$10,041,267,658 "
6-Feb-21,$154.85 ,$163.43 ,$150.51 ,$155.71 ,"$8,323,878,876 ","$10,344,025,914 "
5-Feb-21,$145.15 ,$156.54 ,$144.32 ,$154.85 ,"$7,359,451,680 ","$10,285,648,748 "
4-Feb-21,$155.66 ,$158.09 ,$142.41 ,$145.15 ,"$7,811,659,280 ","$9,640,051,952 "
3-Feb-21,$142.48 ,$155.89 ,$142.17 ,$155.61 ,"$8,586,975,076 ","$10,334,816,210 "
2-Feb-21,$131.95 ,$145.53 ,$131.95 ,$142.51 ,"$7,552,216,052 ","$9,463,573,244 "
1-Feb-21,$129.57 ,$136.13 ,$126.35 ,$131.95 ,"$5,607,159,828 ","$8,761,704,259 "
31-Jan-21,$133.42 ,$134.70 ,$126.25 ,$129.57 ,"$4,539,387,378 ","$8,602,571,147 "
30-Jan-21,$135.00 ,$135.90 ,$128.92 ,$133.40 ,"$6,332,391,807 ","$8,855,782,168 "
29-Jan-21,$138.22 ,$144.96 ,$132.16 ,$135.01 ,"$8,878,892,082 ","$8,961,864,718 "
28-Jan-21,$122.94 ,$135.79 ,$121.54 ,$133.49 ,"$5,828,235,786 ","$8,859,696,434 "
27-Jan-21,$134.75 ,$134.86 ,$118.79 ,$122.95 ,"$6,281,091,792 ","$8,159,485,219 "
26-Jan-21,$137.43 ,$139.54 ,$128.87 ,$134.76 ,"$5,897,389,103 ","$8,942,724,603 "
25-Jan-21,$141.44 ,$147.15 ,$137.01 ,$137.44 ,"$6,344,860,290 ","$9,120,218,856 "
24-Jan-21,$137.74 ,$142.65 ,$134.48 ,$141.48 ,"$4,972,171,240 ","$9,387,244,668 "
23-Jan-21,$137.20 ,$142.34 ,$135.11 ,$137.75 ,"$5,380,627,901 ","$9,138,967,679 "
22-Jan-21,$130.07 ,$141.02 ,$123.65 ,$137.27 ,"$8,550,579,025 ","$9,106,163,561 "
21-Jan-21,$149.94 ,$149.94 ,$126.23 ,$130.13 ,"$8,703,006,148 ","$8,631,731,441 "
20-Jan-21,$153.36 ,$156.14 ,$139.09 ,$149.93 ,"$9,002,037,330 ","$9,943,883,702 "
19-Jan-21,$152.20 ,$165.92 ,$150.49 ,$153.49 ,"$9,314,780,275 ","$10,178,638,262 "
18-Jan-21,$142.43 ,$154.53 ,$138.81 ,$152.14 ,"$6,640,211,538 ","$10,088,494,155 "
17-Jan-21,$144.22 ,$146.82 ,$137.07 ,$142.43 ,"$6,098,835,633 ","$9,443,391,846 "
16-Jan-21,$144.19 ,$152.06 ,$140.00 ,$144.27 ,"$7,183,807,955 ","$9,563,943,063 "
15-Jan-21,$152.11 ,$155.12 ,$132.19 ,$144.24 ,"$8,416,625,031 ","$9,561,058,743 "
14-Jan-21,$147.38 ,$156.57 ,$144.18 ,$152.08 ,"$8,271,411,810 ","$10,080,148,977 "
13-Jan-21,$132.66 ,$147.88 ,$126.86 ,$147.42 ,"$8,421,748,673 ","$9,766,018,251 "
12-Jan-21,$139.08 ,$146.72 ,$128.93 ,$132.64 ,"$11,898,878,222 ","$8,786,548,247 "
11-Jan-21,$171.09 ,$171.09 ,$114.96 ,$139.25 ,"$17,994,263,494 ","$9,224,850,105 "
10-Jan-21,$177.48 ,$185.78 ,$163.78 ,$171.11 ,"$12,774,461,582 ","$11,335,608,546 "
9-Jan-21,$173.25 ,$179.09 ,$164.15 ,$177.48 ,"$11,136,779,198 ","$11,757,532,983 "
8-Jan-21,$169.64 ,$181.77 ,$151.65 ,$173.28 ,"$14,705,614,969 ","$11,479,032,354 "
7-Jan-21,$169.07 ,$180.87 ,$162.81 ,$169.62 ,"$13,099,581,396 ","$11,236,313,944 "
6-Jan-21,$158.67 ,$169.66 ,$155.45 ,$169.02 ,"$10,743,884,477 ","$11,196,630,531 "
5-Jan-21,$154.90 ,$162.85 ,$147.40 ,$158.59 ,"$10,192,818,976 ","$10,506,208,953 "
4-Jan-21,$160.27 ,$173.03 ,$143.62 ,$154.81 ,"$13,659,785,704 ","$10,254,764,750 "
3-Jan-21,$136.95 ,$163.90 ,$135.74 ,$160.19 ,"$15,385,661,271 ","$10,610,100,157 "
2-Jan-21,$126.27 ,$140.37 ,$123.69 ,$136.94 ,"$10,532,067,985 ","$9,069,424,356 "
1-Jan-21,$124.67 ,$133.19 ,$123.33 ,$126.23 ,"$7,326,980,728 ","$8,358,909,486 "
31-Dec-20,$129.48 ,$130.17 ,$123.04 ,$124.69 ,"$6,274,573,135 ","$8,256,035,501 "
30-Dec-20,$129.06 ,$132.45 ,$123.44 ,$129.47 ,"$8,127,317,345 ","$8,571,310,124 "
29-Dec-20,$130.03 ,$130.61 ,$121.19 ,$129.04 ,"$9,160,551,332 ","$8,542,261,137 "
28-Dec-20,$127.59 ,$136.19 ,$127.07 ,$130.05 ,"$10,248,729,547 ","$8,608,138,657 "
27-Dec-20,$129.46 ,$138.32 ,$123.10 ,$127.52 ,"$14,103,307,412 ","$8,439,551,136 "
26-Dec-20,$127.08 ,$134.74 ,$125.13 ,$129.46 ,"$12,680,207,148 ","$8,567,168,165 "
25-Dec-20,$111.51 ,$128.03 ,$108.59 ,$126.98 ,"$11,678,543,063 ","$8,402,415,631 "
24-Dec-20,$101.90 ,$111.93 ,$99.61 ,$111.57 ,"$10,108,653,753 ","$7,381,279,579 "
23-Dec-20,$113.68 ,$116.89 ,$96.27 ,$101.82 ,"$12,287,537,836 ","$6,735,539,590 "
22-Dec-20,$104.95 ,$114.03 ,$98.87 ,$113.68 ,"$11,221,164,987 ","$7,519,474,399 "
21-Dec-20,$114.67 ,$118.02 ,$101.60 ,$105.01 ,"$9,903,839,433 ","$6,944,917,515 "
20-Dec-20,$120.49 ,$122.74 ,$110.77 ,$114.67 ,"$8,652,067,110 ","$7,583,089,812 "
19-Dec-20,$109.37 ,$123.76 ,$105.69 ,$120.56 ,"$9,859,343,632 ","$7,971,885,335 "
18-Dec-20,$100.99 ,$112.25 ,$99.55 ,$109.38 ,"$10,096,427,749 ","$7,232,216,464 "
17-Dec-20,$92.80 ,$109.23 ,$91.14 ,$100.96 ,"$11,165,000,706 ","$6,674,511,819 "
16-Dec-20,$81.41 ,$92.85 ,$79.03 ,$92.79 ,"$6,152,647,270 ","$6,133,693,800 "
15-Dec-20,$82.36 ,$84.71 ,$80.70 ,$81.40 ,"$3,727,495,996 ","$5,380,245,587 "
14-Dec-20,$82.03 ,$82.87 ,$79.43 ,$82.36 ,"$3,459,910,049 ","$5,443,275,105 "
13-Dec-20,$76.71 ,$83.89 ,$75.66 ,$82.00 ,"$3,845,040,543 ","$5,418,690,204 "
12-Dec-20,$72.08 ,$77.52 ,$72.08 ,$76.71 ,"$2,966,684,035 ","$5,068,283,240 "
11-Dec-20,$74.83 ,$74.85 ,$70.23 ,$72.09 ,"$3,761,860,017 ","$4,762,563,166 "
10-Dec-20,$77.41 ,$77.58 ,$73.47 ,$74.83 ,"$3,007,098,971 ","$4,943,203,900 "
9-Dec-20,$76.74 ,$78.10 ,$72.62 ,$77.41 ,"$4,239,672,634 ","$5,113,163,503 "
8-Dec-20,$83.62 ,$84.71 ,$75.98 ,$76.75 ,"$4,230,876,095 ","$5,068,820,612 "
7-Dec-20,$83.55 ,$86.73 ,$81.93 ,$83.62 ,"$4,312,326,196 ","$5,522,332,008 "
6-Dec-20,$83.12 ,$85.04 ,$80.60 ,$83.56 ,"$3,454,805,957 ","$5,517,178,551 "
5-Dec-20,$80.01 ,$84.17 ,$79.15 ,$83.12 ,"$4,517,680,975 ","$5,487,737,378 "
4-Dec-20,$89.10 ,$89.60 ,$78.77 ,$80.02 ,"$5,444,117,736 ","$5,282,368,906 "
3-Dec-20,$88.88 ,$91.12 ,$85.81 ,$89.10 ,"$6,014,261,404 ","$5,881,242,130 "
2-Dec-20,$85.44 ,$90.11 ,$83.40 ,$88.86 ,"$7,713,268,210 ","$5,864,578,837 "
1-Dec-20,$87.58 ,$92.28 ,$81.31 ,$85.44 ,"$9,818,290,618 ","$5,638,149,878 "
30-Nov-20,$79.21 ,$88.13 ,$77.07 ,$87.57 ,"$6,812,463,307 ","$5,778,622,122 "
29-Nov-20,$72.70 ,$80.78 ,$71.73 ,$79.24 ,"$5,314,384,738 ","$5,227,758,602 "
28-Nov-20,$69.13 ,$74.83 ,$68.55 ,$72.69 ,"$4,784,394,518 ","$4,795,595,984 "
27-Nov-20,$70.88 ,$73.46 ,$65.95 ,$69.12 ,"$5,874,999,214 ","$4,559,668,328 "
